,auto_kurtosis_20,hist_vol_60,auto_volatility_20,hist_vol_20,auto_volatility_60,auto_std_60_1,auto_amount_ma_30,auto_open_ratio_60,auto_quantile_0.75_30,auto_amount_ma_60,auto_skew_30_1,auto_kurtosis_20_1,auto_volatility_20_1,auto_volatility_60_1,auto_std_60,auto_amount_ma_30_1,auto_open_ratio_60_1,auto_open_log_return_60,auto_open_log_return_60_1,auto_quantile_0.75_30_1
auto_skew_30_1,9.5925117524625e-07,3.813477720086582e-05,2.175513586248286e-05,3.755347269609944e-05,2.1115211165992448e-05,2.821322371966999e-06,8.13495744986203e-12,1.460197896795247e-05,2.8322208981104545e-07,7.1708943161651606e-12,1.1721109306196894e-05,9.5925117524625e-07,2.175513586248286e-05,2.1115211165992448e-05,2.821322371966999e-06,8.13495744986203e-12,1.460197896795247e-05,1.6375412148691957e-05,1.6375412148691957e-05,2.832220898110454e-07
auto_kurtosis_20_1,1.5601248882389657e-06,6.021728502014027e-06,9.768348261035067e-06,-1.8659317968787079e-06,5.245000764133469e-06,4.958464240684105e-07,3.445625845996447e-13,5.140192827062861e-06,6.590883947564462e-08,8.584152117558229e-13,9.5925117524625e-07,1.5601248882389657e-06,9.768348261035067e-06,5.245000764133469e-06,4.958464240684105e-07,3.445625845996447e-13,5.140192827062861e-06,5.877613098008345e-06,5.877613098008345e-06,6.590883947564464e-08
auto_volatility_20_1,9.768348261035067e-06,0.0010002963921682578,0.0005588514165712672,0.0009026477344293525,0.0003819458565399144,1.7385006762481295e-05,-4.637001281151773e-11,-1.8339564199058026e-05,1.2616174740438795e-06,-4.670750183555242e-11,2.175513586248286e-05,9.768348261035067e-06,0.0005588514165712672,0.0003819458565399144,1.7385006762481295e-05,-4.637001281151773e-11,-1.8339564199058026e-05,2.5775591204328013e-05,2.5775591204328013e-05,1.2616174740438795e-06
auto_volatility_60_1,5.245000764133469e-06,0.0008480478688908022,0.0003819458565399144,0.0006086596799365111,0.0004632616993213665,1.974402350074213e-05,-4.073277808930047e-11,-4.025740344461423e-05,1.3904675092661581e-06,-3.589180710330052e-11,2.1115211165992448e-05,5.245000764133469e-06,0.0003819458565399144,0.0004632616993213665,1.974402350074213e-05,-4.073277808930047e-11,-4.025740344461423e-05,1.3151830896403427e-05,1.3151830896403427e-05,1.3904675092661581e-06
auto_std_60,4.958464240684105e-07,3.963019557507513e-05,1.7385006762481295e-05,2.864324607833508e-05,1.974402350074213e-05,3.6875790469717468e-06,2.9956969675941737e-12,4.7190100220649905e-06,3.141767709624069e-07,4.412586627072985e-12,2.821322371966999e-06,4.958464240684105e-07,1.7385006762481295e-05,1.974402350074213e-05,3.6875790469717468e-06,2.9956969675941737e-12,4.7190100220649905e-06,6.353092228902926e-06,6.353092228902926e-06,3.141767709624069e-07
auto_amount_ma_30_1,3.445625845996447e-13,-1.3893341851361022e-10,-4.637001281151773e-11,-1.5367307995747138e-10,-4.073277808930047e-11,2.9956969675941737e-12,8.115917372018976e-17,6.964905049007143e-11,5.492913214038217e-13,7.10016479674072e-17,8.13495744986203e-12,3.445625845996447e-13,-4.637001281151773e-11,-4.073277808930047e-11,2.9956969675941737e-12,8.115917372018976e-17,6.964905049007143e-11,5.0110092604533807e-11,5.0110092604533807e-11,5.492913214038217e-13
auto_open_ratio_60_1,5.140192827062861e-06,-0.00012867802566055389,-1.833956419905805e-05,-0.0001963516280920511,-4.025740344461417e-05,4.7190100220649905e-06,6.964905049007143e-11,0.0005057958166696515,1.0363964908755738e-06,6.527565025247056e-11,1.460197896795247e-05,5.140192827062861e-06,-1.8339564199058026e-05,-4.025740344461423e-05,4.7190100220649905e-06,6.964905049007143e-11,0.0005057958166696516,0.0005131031666679975,0.0005131031666679975,1.0363964908755734e-06
auto_open_log_return_60,5.877613098008345e-06,3.373241930055036e-05,2.577559120432793e-05,-7.264646838285994e-05,1.3151830896403527e-05,6.353092228902924e-06,5.011009260453386e-11,0.0005131031666679978,1.068743150837362e-06,4.4974657373369005e-11,1.6375412148691957e-05,5.877613098008345e-06,2.5775591204328013e-05,1.3151830896403427e-05,6.353092228902926e-06,5.0110092604533807e-11,0.0005131031666679975,0.0005602275508773878,0.0005602275508773878,1.0687431508373624e-06
auto_open_log_return_60_1,5.877613098008345e-06,3.373241930055036e-05,2.577559120432793e-05,-7.264646838285994e-05,1.3151830896403527e-05,6.353092228902924e-06,5.011009260453386e-11,0.0005131031666679978,1.068743150837362e-06,4.4974657373369005e-11,1.6375412148691957e-05,5.877613098008345e-06,2.5775591204328013e-05,1.3151830896403427e-05,6.353092228902926e-06,5.0110092604533807e-11,0.0005131031666679975,0.0005602275508773878,0.0005602275508773878,1.0687431508373624e-06
auto_quantile_0.75_30_1,6.590883947564464e-08,2.827053781190065e-06,1.2616174740438797e-06,1.2661772494567233e-06,1.3904675092661581e-06,3.141767709624068e-07,5.49291321403822e-13,1.0363964908755738e-06,3.473952912620216e-08,5.8988909675946e-13,2.832220898110454e-07,6.590883947564464e-08,1.2616174740438795e-06,1.3904675092661581e-06,3.141767709624069e-07,5.492913214038217e-13,1.0363964908755734e-06,1.0687431508373624e-06,1.0687431508373624e-06,3.473952912620217e-08
